id_appareil,id_installation_hash,id_menage_hash,type_object,description,id_branche_activite,branche_activite,heat,auto,renew,localite,same_value,npa,i
00660baabd724d83b618145e807e66f7d1278b87a342c1a2b2c44868c205aa7b,971a299280fe11ec196314a4d098128c3e1db58eef41585ae8c1c1a223d30cf4,971a299280fe11ec196314a4d098128c3e1db58eef41585ae8c1c1a223d30cf4,Appartement,REZ-DE-CHAUSSEE OUEST                                                 ,1,HABITATION                              ,Autres,Consommation,Aucun,LES BREULEUX                            ,1,2345,00660baabd724d83b618145e807e66f7d1278b87a342c1a2b2c44868c205aa7b
00664cc91d834b18bcbe8ac0cb8623b28f374c424ea421af1f285e2bb168fe41,af4cbcbe79ea0a55f5df09d3ceab2497e43fb87d2eb74c7322ac6bb1dea24f32,af4cbcbe79ea0a55f5df09d3ceab2497e43fb87d2eb74c7322ac6bb1dea24f32,Maison,MAISON FAMILIALE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,COURTELARY                              ,1,2608,00664cc91d834b18bcbe8ac0cb8623b28f374c424ea421af1f285e2bb168fe41
0075716d0a9ca3d405f51f2136c2b84cd9479e36277209f003887cae42ba6b39,ce58725a6b44d36694f1fff663bdc67f4cb47518af1b25309c0ad5473d26e8a9,ce58725a6b44d36694f1fff663bdc67f4cb47518af1b25309c0ad5473d26e8a9,Maison,                                                                      ,1,HABITATION                              ,Electricité,Consommation,Aucun,LES BRENETS                             ,1,2416,0075716d0a9ca3d405f51f2136c2b84cd9479e36277209f003887cae42ba6b39
0075e4b731c2f47c594908c6dac67dadeb7c009ed0e69b747b80610bfd100324,b70bc23156c1e8adc628c26476c11a8e02dc85ae2b8e6cc1bf0fd7be4c714a7a,2aa7423f5b0fe3716c5ea035b336375aac89991d1ccf9417b51bad260e57ac64,Maison,POMPE A CHALEUR                                                       ,1,HABITATION                              ,Pompe à chaleur,Consommation,Aucun,RENAN BE                                ,0,2616,0075e4b731c2f47c594908c6dac67dadeb7c009ed0e69b747b80610bfd100324
008c1e5b586efcf8559b4481990ee33f5382c2dbdc3d36171dbab0315adfe59d,d5198157bf4a61fc44c2438cefa23cf59dee39a80f4e16fedad9c36ac66625bd,d5198157bf4a61fc44c2438cefa23cf59dee39a80f4e16fedad9c36ac66625bd,Appartement,2EME ETAGE                                                            ,1,HABITATION                              ,Autres,Consommation,Aucun,RENAN BE                                ,1,2616,008c1e5b586efcf8559b4481990ee33f5382c2dbdc3d36171dbab0315adfe59d
00a0ac64e546f7607d17bdfc0091466434f757142a302b952ffc677cc046f4ef,e1ef323301b1c0b110823bb2fdc85c6ad0ff6db113325a1fae83b38b87bc1384,e1ef323301b1c0b110823bb2fdc85c6ad0ff6db113325a1fae83b38b87bc1384,Appartement,APPART 1ER ETAGE ET DEPENDANCES IMMEUBLE                              ,1,HABITATION                              ,Autres,Consommation,Aucun,LE NOIRMONT                             ,1,2340,00a0ac64e546f7607d17bdfc0091466434f757142a302b952ffc677cc046f4ef
00b49a1647f35f95ad26bb0dffb79e294f9b5611cb5253d7204016ef7825c452,06d38d6b349b7ddf1cbf2938a7de568d2fd5e81758b535ba9578909890947226,06d38d6b349b7ddf1cbf2938a7de568d2fd5e81758b535ba9578909890947226,Appartement,REZ-DE-CHAUSSEE                                                       ,1,HABITATION                              ,Electricité,Consommation,Aucun,LES BREULEUX                            ,1,2345,00b49a1647f35f95ad26bb0dffb79e294f9b5611cb5253d7204016ef7825c452
00b72fdba3e4066ab2eee2a4b4bc3de98df5b385871e367c972563463a946134,af07cd301b91ae755a230c7db2c222fd021b27cceb3866235c3f4c6e7522f227,af07cd301b91ae755a230c7db2c222fd021b27cceb3866235c3f4c6e7522f227,Maison,MAISON FAMILIALE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,LA FERRIERE                             ,1,2333,00b72fdba3e4066ab2eee2a4b4bc3de98df5b385871e367c972563463a946134
00c3ef38976cdd3a3478b36bf67945cca46e66cb3e4044d7c4075e599582b891,345fdf399ec8f5cd311c4452b9290311ecc9ae222dd53f6feca1406f2bc18c96,345fdf399ec8f5cd311c4452b9290311ecc9ae222dd53f6feca1406f2bc18c96,Appartement,2EME ETAGE                                                            ,1,HABITATION                              ,Autres,Consommation,Aucun,LA FERRIERE                             ,1,2333,00c3ef38976cdd3a3478b36bf67945cca46e66cb3e4044d7c4075e599582b891
00dbeaec20f087b7b156f334d8d9d1ff6bbadc63962648d46d257eef791c5c44,493f881272ad54bed80e864e93bff7e697d76fc246679af49fc12ba6ab7dd4e1,493f881272ad54bed80e864e93bff7e697d76fc246679af49fc12ba6ab7dd4e1,Appartement,REZ-DE-CHAUSSEE SUD-OUEST                                             ,1,HABITATION                              ,Autres,Consommation,Aucun,LA CHAUX DES BREULEUX                   ,1,2345,00dbeaec20f087b7b156f334d8d9d1ff6bbadc63962648d46d257eef791c5c44
00deaaeef397d1a8c48f272059ab517567df4f23b6f3e8ef22d2ea745210c2d2,c8b7ae50b56da6a19fb03ac1f705243565394e9afeb2ec9de81758ef1a75f0d1,c8b7ae50b56da6a19fb03ac1f705243565394e9afeb2ec9de81758ef1a75f0d1,Appartement,2EME ETAGE                                                            ,1,HABITATION                              ,Autres,Consommation,Aucun,VILLERET                                ,1,2613,00deaaeef397d1a8c48f272059ab517567df4f23b6f3e8ef22d2ea745210c2d2
00e8ab0e70694e855ec41d7a4badec23286581ff7bfc46d2fabcab30baafd1a7,77839b2dfd673b7b638cc1b9a092ed55664b2c672be8f2490999efd15585912e,77839b2dfd673b7b638cc1b9a092ed55664b2c672be8f2490999efd15585912e,Maison,MAISON FAMILIALE                                                      ,1,HABITATION                              ,Electricité,Consommation,Aucun,CORTEBERT                               ,1,2607,00e8ab0e70694e855ec41d7a4badec23286581ff7bfc46d2fabcab30baafd1a7
00eba8a7ae62df2bce7f8662606fd7f341564330a2b2777e0fbd6dae7dbc61b1,13296fc4e2fced5fad9788f1b432ee72f904e01bc5e9d7cd37e3239b9b50db64,13296fc4e2fced5fad9788f1b432ee72f904e01bc5e9d7cd37e3239b9b50db64,Appartement,2EME ETAGE EST                                                        ,1,HABITATION                              ,Autres,Consommation,Aucun,LES BREULEUX                            ,1,2345,00eba8a7ae62df2bce7f8662606fd7f341564330a2b2777e0fbd6dae7dbc61b1
00ec71656698ca4e7ad44b02efa93ec4d61f56cfafc747088052a4387dc63502,6d9e5b3c5f57710ed52743719841a0da9a219757dc294bea19dc370125072f0e,6d9e5b3c5f57710ed52743719841a0da9a219757dc294bea19dc370125072f0e,Appartement,APPART 1ER ETAGE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,undefined,1,,00ec71656698ca4e7ad44b02efa93ec4d61f56cfafc747088052a4387dc63502
011223fc8083c2571657823bb84ed332cf4dfc36a2ce33d57c6aa15b4fe396d5,eb57d5e71b3293b388a2a96870c54dc5ebc446fd5ca3c1c2546cd0089b95c59d,eb57d5e71b3293b388a2a96870c54dc5ebc446fd5ca3c1c2546cd0089b95c59d,Appartement,REZ-DE-CHAUSSEE OUEST                                                 ,1,HABITATION                              ,Autres,Consommation,Aucun,VILLERET                                ,1,2613,011223fc8083c2571657823bb84ed332cf4dfc36a2ce33d57c6aa15b4fe396d5
011f2af7626b3e016f6cff55d4169c409d6e499550ab32f8cdb5cd2a20ef00d5,e2fcae5f45ffc5b18f84f2a76e87fd06c9db29a2d1eef87f79027b7c68d9dd53,e2fcae5f45ffc5b18f84f2a76e87fd06c9db29a2d1eef87f79027b7c68d9dd53,Appartement,REZ-DE-CHAUSSEE OUEST-DROITE                                          ,1,HABITATION                              ,Autres,Consommation,Aucun,LE NOIRMONT                             ,1,2340,011f2af7626b3e016f6cff55d4169c409d6e499550ab32f8cdb5cd2a20ef00d5
012034ddb2197e0cde4bb3a3a3a26bd76c2b4fb6c36d95b0de53116371192b8c,de44e0406837c4678dc110f597647e4fcf2a8c9ed7e093106b12dd2b0136a2af,de44e0406837c4678dc110f597647e4fcf2a8c9ed7e093106b12dd2b0136a2af,Appartement,APPART 1ER ETAGE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,CORTEBERT                               ,1,2607,012034ddb2197e0cde4bb3a3a3a26bd76c2b4fb6c36d95b0de53116371192b8c
01296f2ff89ec12db4d12b29660c40e6fa0a655bf57960aa55720c6044af4953,f201f47fb145037315644d9e07fe783821729f3e6876df489145c4a045282844,f201f47fb145037315644d9e07fe783821729f3e6876df489145c4a045282844,Maison,MAISON FAMILIALE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,LA FERRIERE                             ,1,2333,01296f2ff89ec12db4d12b29660c40e6fa0a655bf57960aa55720c6044af4953
012be6735ca573f21cf42eaad20b16dd4986e6f298ea9f5b9f1e0e5132e3ae71,e14405ca70ca3b985f9be93a5e18630a4163c650790d95b995c8e889b3955add,e14405ca70ca3b985f9be93a5e18630a4163c650790d95b995c8e889b3955add,Appartement,3EME SUD-OUEST                                                        ,1,HABITATION                              ,Autres,Consommation,Aucun,LES BOIS                                ,1,2336,012be6735ca573f21cf42eaad20b16dd4986e6f298ea9f5b9f1e0e5132e3ae71
0139a449b347faeb88d730d519257d22ce02cddc61922c2709ce1f2f3c300e8b,08bc6561820d4f921436afb51e24f9773ecba4bf1c7bd24547a2831060aebc47,08bc6561820d4f921436afb51e24f9773ecba4bf1c7bd24547a2831060aebc47,Appartement,APPART 1ER ETAGE                                                      ,1,HABITATION                              ,Autres,Consommation,Aucun,MURIAUX                                 ,1,2338,0139a449b347faeb88d730d519257d22ce02cddc61922c2709ce1f2f3c300e8b
