"","DateTime","Load","hour","day"
"540",2023-01-23 11:00:00,1269,"11",23
"541",2023-01-23 12:00:00,1251,"12",23
"542",2023-01-23 13:00:00,1246,"13",23
"543",2023-01-23 14:00:00,1256,"14",23
"544",2023-01-23 15:00:00,1254,"15",23
"545",2023-01-23 16:00:00,1237,"16",23
"546",2023-01-23 17:00:00,1187,"17",23
"547",2023-01-23 18:00:00,1141,"18",23
"548",2023-01-23 19:00:00,1097,"19",23
"549",2023-01-23 20:00:00,1027,"20",23
"550",2023-01-23 21:00:00,953,"21",23
"551",2023-01-23 22:00:00,1028,"22",23
"552",2023-01-23 23:00:00,917,"23",23
"553",2023-01-24,906,"0",24
"554",2023-01-24 01:00:00,904,"1",24
"555",2023-01-24 02:00:00,910,"2",24
"556",2023-01-24 03:00:00,938,"3",24
"557",2023-01-24 04:00:00,1052,"4",24
"558",2023-01-24 05:00:00,1174,"5",24
"559",2023-01-24 06:00:00,1274,"6",24
"560",2023-01-24 07:00:00,1305,"7",24
"561",2023-01-24 08:00:00,1310,"8",24
"562",2023-01-24 09:00:00,1295,"9",24
"563",2023-01-24 10:00:00,1274,"10",24
"564",2023-01-24 11:00:00,1278,"11",24
"565",2023-01-24 12:00:00,1265,"12",24
"566",2023-01-24 13:00:00,1263,"13",24
"567",2023-01-24 14:00:00,1269,"14",24
"568",2023-01-24 15:00:00,1273,"15",24
"569",2023-01-24 16:00:00,1237,"16",24
"570",2023-01-24 17:00:00,1202,"17",24
"571",2023-01-24 18:00:00,1165,"18",24
"572",2023-01-24 19:00:00,1120,"19",24
"573",2023-01-24 20:00:00,1045,"20",24
"574",2023-01-24 21:00:00,965,"21",24
"575",2023-01-24 22:00:00,1016,"22",24
"576",2023-01-24 23:00:00,931,"23",24
"577",2023-01-25,917,"0",25
"578",2023-01-25 01:00:00,918,"1",25
"579",2023-01-25 02:00:00,921,"2",25
"580",2023-01-25 03:00:00,955,"3",25
"581",2023-01-25 04:00:00,1071,"4",25
"582",2023-01-25 05:00:00,1184,"5",25
"583",2023-01-25 06:00:00,1276,"6",25
"584",2023-01-25 07:00:00,1298,"7",25
"585",2023-01-25 08:00:00,1291,"8",25
"586",2023-01-25 09:00:00,1273,"9",25
"587",2023-01-25 10:00:00,1266,"10",25
"588",2023-01-25 11:00:00,1280,"11",25
"589",2023-01-25 12:00:00,1264,"12",25
"590",2023-01-25 13:00:00,1259,"13",25
"591",2023-01-25 14:00:00,1245,"14",25
"592",2023-01-25 15:00:00,1243,"15",25
"593",2023-01-25 16:00:00,1213,"16",25
"594",2023-01-25 17:00:00,1175,"17",25
"595",2023-01-25 18:00:00,1135,"18",25
